fundingTime,target_next_rate,fundingRate,alpha_8h,alpha_regime,target_24h_avg,alpha_24h,alpha_ensemble,in_signal_alpha
2023-03-15 08:00:00+00:00,0.0001,0.00018366,,,0.0001,,,
2023-03-15 16:00:00.012000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-16 00:00:00.004000+00:00,0.0001,0.0001,,,8.654666666666666e-05,,,
2023-03-16 08:00:00.018000+00:00,0.0001,0.0001,,,7.301666666666668e-05,,,
2023-03-16 16:00:00.005000+00:00,5.964e-05,0.0001,,,7.301666666666668e-05,,,
2023-03-17 00:00:00.017000+00:00,5.941e-05,5.964e-05,,,8.647e-05,,,
2023-03-17 08:00:00.010000+00:00,0.0001,5.941e-05,,,0.0001,,,
2023-03-17 16:00:00.003000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-18 00:00:00.012000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-18 08:00:00+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-18 16:00:00.016000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-19 00:00:00.013000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-19 08:00:00.024000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-19 16:00:00+00:00,0.0001,0.0001,,,9.398e-05,,,
2023-03-20 00:00:00.005000+00:00,0.0001,0.0001,,,8.433333333333334e-05,,,
2023-03-20 08:00:00.012000+00:00,8.194e-05,0.0001,,,6.637e-05,,,
2023-03-20 16:00:00.015000+00:00,7.106e-05,8.194e-05,,,6.902333333333334e-05,,,
2023-03-21 00:00:00.006000+00:00,4.611e-05,7.106e-05,,,6.248999999999999e-05,,,
2023-03-21 08:00:00.004000+00:00,8.99e-05,4.611e-05,,,5.134333333333334e-05,,,
2023-03-21 16:00:00.003000+00:00,5.146e-05,8.99e-05,,,3.984333333333333e-05,,,
2023-03-22 00:00:00+00:00,1.267e-05,5.146e-05,,,2.6433333333333326e-05,,,
2023-03-22 08:00:00.003000+00:00,5.54e-05,1.267e-05,,,4.507666666666666e-05,,,
2023-03-22 16:00:00+00:00,1.123e-05,5.54e-05,,,5.994333333333334e-05,,,
2023-03-23 00:00:00.016000+00:00,6.86e-05,1.123e-05,,,8.953333333333335e-05,,,
2023-03-23 08:00:00.001000+00:00,0.0001,6.86e-05,,,0.0001,,,
2023-03-23 16:00:00.013000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-24 00:00:00.013000+00:00,0.0001,0.0001,,,7.330666666666667e-05,,,
2023-03-24 08:00:00.012000+00:00,0.0001,0.0001,,,4.4840000000000004e-05,,,
2023-03-24 16:00:00.027000+00:00,1.992e-05,0.0001,,,8.856666666666666e-06,,,
2023-03-25 00:00:00.015000+00:00,1.46e-05,1.992e-05,,,4.980000000000001e-06,,,
2023-03-25 08:00:00.011000+00:00,-7.95e-06,1.46e-05,,,3.4366666666666667e-06,,,
2023-03-25 16:00:00.011000+00:00,8.29e-06,-7.95e-06,,,2.0696666666666664e-05,,,
2023-03-26 00:00:00+00:00,9.97e-06,8.29e-06,,,2.3383333333333334e-05,,,
2023-03-26 08:00:00.015000+00:00,4.383e-05,9.97e-06,,,1.8776666666666666e-05,,,
2023-03-26 16:00:00+00:00,1.635e-05,4.383e-05,,,3.596666666666667e-06,,,
2023-03-27 00:00:00.019000+00:00,-3.85e-06,1.635e-05,,,-6.78e-06,,,
2023-03-27 08:00:00.009000+00:00,-1.71e-06,-3.85e-06,,,6.08e-06,,,
2023-03-27 16:00:00+00:00,-1.478e-05,-1.71e-06,,,2.8576666666666664e-05,,,
2023-03-28 00:00:00.007000+00:00,3.473e-05,-1.478e-05,,,6.683666666666666e-05,,,
2023-03-28 08:00:00+00:00,6.578e-05,3.473e-05,,,8.054e-05,,,
2023-03-28 16:00:00.013000+00:00,0.0001,6.578e-05,,,9.194666666666667e-05,,,
2023-03-29 00:00:00.010000+00:00,7.584e-05,0.0001,,,7.780000000000001e-05,,,
2023-03-29 08:00:00.006000+00:00,0.0001,7.584e-05,,,5.347333333333333e-05,,,
2023-03-29 16:00:00.014000+00:00,5.756e-05,0.0001,,,3.689e-05,,,
2023-03-30 00:00:00+00:00,2.86e-06,5.756e-05,,,4.1713333333333326e-05,,,
2023-03-30 08:00:00+00:00,5.025e-05,2.86e-06,,,6.403333333333334e-05,,,
2023-03-30 16:00:00.006000+00:00,7.203e-05,5.025e-05,,,8.061666666666667e-05,,,
2023-03-31 00:00:00.003000+00:00,6.982e-05,7.203e-05,,,8.994e-05,,,
2023-03-31 08:00:00.006000+00:00,0.0001,6.982e-05,,,0.0001,,,
2023-03-31 16:00:00.011000+00:00,0.0001,0.0001,,,8.768666666666667e-05,,,
2023-04-01 00:00:00+00:00,0.0001,0.0001,,,6.764333333333332e-05,,,
2023-04-01 08:00:00+00:00,6.306e-05,0.0001,,,5.103666666666666e-05,,,
2023-04-01 16:00:00.018000+00:00,3.987e-05,6.306e-05,,,4.169333333333333e-05,,,
2023-04-02 00:00:00.013000+00:00,5.018e-05,3.987e-05,,,1.8609999999999993e-05,,,
2023-04-02 08:00:00.014000+00:00,3.503e-05,5.018e-05,,,-4.650000000000004e-06,,,
2023-04-02 16:00:00.001000+00:00,-2.938e-05,3.503e-05,,,-1.789666666666667e-05,,,
2023-04-03 00:00:00+00:00,-1.96e-05,-2.938e-05,,,1.3096666666666661e-05,,,
2023-04-03 08:00:00.013000+00:00,-4.71e-06,-1.96e-05,,,3.0423333333333327e-05,,,
2023-04-03 16:00:00.011000+00:00,6.36e-05,-4.71e-06,,,6.532666666666667e-05,,,
2023-04-04 00:00:00.002000+00:00,3.238e-05,6.36e-05,,,6.697e-05,,,
2023-04-04 08:00:00.017000+00:00,0.0001,3.238e-05,,,8.951e-05,,,
2023-04-04 16:00:00.008000+00:00,6.853e-05,0.0001,,,8.951e-05,,,
2023-04-05 00:00:00+00:00,0.0001,6.853e-05,,,8.337e-05,,,
2023-04-05 08:00:00.016000+00:00,0.0001,0.0001,,,7.087333333333333e-05,,,
2023-04-05 16:00:00.004000+00:00,5.011e-05,0.0001,,,3.826333333333333e-05,,,
2023-04-06 00:00:00+00:00,6.251e-05,5.011e-05,,,2.8519999999999995e-05,,,
2023-04-06 08:00:00.011000+00:00,2.17e-06,6.251e-05,,,3.1326666666666666e-05,,,
2023-04-06 16:00:00+00:00,2.088e-05,2.17e-06,,,4.272999999999999e-05,,,
2023-04-07 00:00:00.006000+00:00,7.093e-05,2.088e-05,,,4.8186666666666664e-05,,,
2023-04-07 08:00:00.005000+00:00,3.638e-05,7.093e-05,,,2.8029999999999998e-05,,,
2023-04-07 16:00:00+00:00,3.725e-05,3.638e-05,,,2.3269999999999996e-05,,,
2023-04-08 00:00:00+00:00,1.046e-05,3.725e-05,,,1.3589999999999995e-05,,,
2023-04-08 08:00:00.014000+00:00,2.21e-05,1.046e-05,,,3.7433333333333286e-06,,,
2023-04-08 16:00:00.018000+00:00,8.21e-06,2.21e-05,,,6.599999999999995e-06,,,
2023-04-09 00:00:00.013000+00:00,-1.908e-05,8.21e-06,,,1.5059999999999996e-05,,,
2023-04-09 08:00:00.024000+00:00,3.067e-05,-1.908e-05,,,4.856666666666661e-06,,,
2023-04-09 16:00:00.010000+00:00,3.359e-05,3.067e-05,,,1.5066666666666625e-06,,,
2023-04-10 00:00:00+00:00,-4.969e-05,3.359e-05,,,-8.63333333333338e-07,,,
2023-04-10 08:00:00.010000+00:00,2.062e-05,-4.969e-05,,,4.452666666666666e-05,,,
