fundingTime,regime_gmm,regime_label,fold,regime_predicted,p_crisis,p_bear,p_neutral,p_bull
2023-10-11 00:00:00+00:00,-1.0,CRISIS,1,-1,0.81817454,0.08592368,0.092235476,0.0036663334
2023-10-11 08:00:00+00:00,1.0,NEUTRAL,1,1,0.018920105,0.0037949004,0.9764881,0.0007969365
2023-10-11 16:00:00+00:00,-1.0,CRISIS,1,-1,0.6312648,0.034118,0.33239076,0.0022264216
2023-10-12 00:00:00+00:00,1.0,NEUTRAL,1,1,0.10464583,0.0323525,0.86138135,0.0016203369
2023-10-12 08:00:00+00:00,1.0,NEUTRAL,1,-1,0.5847004,0.016655225,0.3971717,0.001472679
2023-10-12 16:00:00+00:00,-1.0,CRISIS,1,1,0.25702402,0.028175225,0.7099589,0.0048418427
2023-10-13 00:00:00+00:00,-1.0,CRISIS,1,1,0.30604377,0.14484935,0.5431173,0.005989607
2023-10-13 08:00:00+00:00,-1.0,CRISIS,1,-1,0.69562864,0.14961049,0.14857462,0.0061862054
2023-10-13 16:00:00+00:00,-1.0,CRISIS,1,-1,0.38907468,0.30137676,0.30476916,0.0047794012
2023-10-14 00:00:00+00:00,0.0,BEAR,1,0,0.015979977,0.9012506,0.08116697,0.0016024132
2023-10-14 08:00:00+00:00,0.0,BEAR,1,0,0.045469873,0.9172348,0.03564918,0.0016462263
2023-10-14 16:00:00+00:00,0.0,BEAR,1,0,0.17479622,0.70863354,0.11196138,0.004608904
2023-10-15 00:00:00+00:00,0.0,BEAR,1,0,0.02501729,0.9618011,0.011523652,0.001657994
2023-10-15 08:00:00+00:00,0.0,BEAR,1,0,0.0032524394,0.87503755,0.12054668,0.0011633185
2023-10-15 16:00:00+00:00,0.0,BEAR,1,0,0.00067740807,0.9711297,0.028002156,0.00019067562
2023-10-16 00:00:00+00:00,0.0,BEAR,1,0,0.0007069708,0.99534947,0.0038107366,0.00013280509
2023-10-16 08:00:00+00:00,0.0,BEAR,1,0,0.00023808713,0.99949443,0.00022756142,3.9899005e-05
2023-10-16 16:00:00+00:00,0.0,BEAR,1,0,0.0005145939,0.99517906,0.00405883,0.0002475424
2023-10-17 00:00:00+00:00,0.0,BEAR,1,0,0.00069046323,0.9968886,0.0022594985,0.00016144628
2023-10-17 08:00:00+00:00,0.0,BEAR,1,0,0.0003596935,0.99913114,0.00043891533,7.025878e-05
2023-10-17 16:00:00+00:00,0.0,BEAR,1,0,0.00046238225,0.9983376,0.0011223085,7.7629535e-05
2023-10-18 00:00:00+00:00,0.0,BEAR,1,0,0.0003909287,0.9987243,0.00082617387,5.859651e-05
2023-10-18 08:00:00+00:00,0.0,BEAR,1,0,0.0011097982,0.997797,0.0009703443,0.00012290353
2023-10-18 16:00:00+00:00,0.0,BEAR,1,0,0.00025219406,0.99140924,0.008244738,9.3801194e-05
2023-10-19 00:00:00+00:00,0.0,BEAR,1,0,0.0011176607,0.9967873,0.0019964883,9.854571e-05
2023-10-19 08:00:00.001000+00:00,0.0,BEAR,1,0,0.0031139792,0.99571484,0.0010394879,0.00013167271
2023-10-19 16:00:00+00:00,0.0,BEAR,1,0,0.00064014166,0.9988894,0.00041958923,5.0935043e-05
2023-10-20 00:00:00+00:00,-1.0,CRISIS,1,0,0.019411929,0.9790688,0.0013522537,0.00016693654
2023-10-20 08:00:00.005000+00:00,0.0,BEAR,1,0,0.021250248,0.9775194,0.001075159,0.0001551971
2023-10-20 16:00:00+00:00,-1.0,CRISIS,1,0,0.118993744,0.73574245,0.14143096,0.0038328122
2023-10-21 00:00:00+00:00,-1.0,CRISIS,1,-1,0.8758445,0.11716445,0.0062426827,0.0007484399
2023-10-21 08:00:00+00:00,-1.0,CRISIS,1,-1,0.776198,0.14724669,0.075133994,0.0014212746
2023-10-21 16:00:00+00:00,-1.0,CRISIS,1,1,0.09710506,0.1510235,0.7509004,0.0009710512
2023-10-22 00:00:00+00:00,-1.0,CRISIS,1,-1,0.87177837,0.11714081,0.010583827,0.0004969674
2023-10-22 08:00:00+00:00,-1.0,CRISIS,1,-1,0.6542533,0.3312764,0.01356708,0.0009032772
2023-10-22 16:00:00+00:00,-1.0,CRISIS,1,-1,0.56959486,0.36028746,0.06925092,0.0008667572
2023-10-23 00:00:00+00:00,-1.0,CRISIS,1,1,0.25332472,0.08371634,0.6615954,0.0013635791
2023-10-23 08:00:00.001000+00:00,1.0,NEUTRAL,1,0,0.23125723,0.5581094,0.20913813,0.0014951744
2023-10-23 16:00:00.001000+00:00,-1.0,CRISIS,1,0,0.34923917,0.62176734,0.027830984,0.0011625141
2023-10-24 00:00:00+00:00,-1.0,CRISIS,1,1,0.343751,0.06965668,0.47544467,0.11114767
2023-10-24 08:00:00+00:00,-1.0,CRISIS,1,1,0.35909352,0.060192537,0.50265515,0.07805877
2023-10-24 16:00:00+00:00,-1.0,CRISIS,1,1,0.20037144,0.067347184,0.72100383,0.011277476
2023-10-25 00:00:00+00:00,1.0,NEUTRAL,1,1,0.19724564,0.009561432,0.7806791,0.012513775
2023-10-25 08:00:00+00:00,1.0,NEUTRAL,1,1,0.26823485,0.007243663,0.663127,0.061394487
2023-10-25 16:00:00.001000+00:00,1.0,NEUTRAL,1,1,0.07430958,0.0012385133,0.9197962,0.0046556247
2023-10-26 00:00:00.001000+00:00,1.0,NEUTRAL,1,1,0.0009394495,0.00073667953,0.9910437,0.0072801607
2023-10-26 08:00:00+00:00,1.0,NEUTRAL,1,1,0.0013128155,0.0008867807,0.9817182,0.016082244
2023-10-26 16:00:00+00:00,1.0,NEUTRAL,1,1,0.00034486185,0.00027509328,0.9988545,0.00052548986
2023-10-27 00:00:00+00:00,1.0,NEUTRAL,1,1,0.00106611,0.00058756396,0.98482764,0.013518658
2023-10-27 08:00:00+00:00,1.0,NEUTRAL,1,1,0.0007953004,0.00045726873,0.9942674,0.004480072
2023-10-27 16:00:00+00:00,1.0,NEUTRAL,1,1,0.0007502242,0.00052362727,0.99482214,0.0039039375
2023-10-28 00:00:00+00:00,1.0,NEUTRAL,1,1,0.0005738956,0.00042519378,0.9923349,0.0066659614
2023-10-28 08:00:00.001000+00:00,1.0,NEUTRAL,1,1,0.0017846413,0.001468503,0.9307435,0.06600336
2023-10-28 16:00:00+00:00,1.0,NEUTRAL,1,1,0.0020689056,0.002401352,0.9583398,0.037189905
2023-10-29 00:00:00+00:00,1.0,NEUTRAL,1,1,0.0009345327,0.0042565344,0.9872842,0.007524763
2023-10-29 08:00:00+00:00,1.0,NEUTRAL,1,1,0.0012838203,0.005029819,0.9571409,0.036545426
2023-10-29 16:00:00+00:00,1.0,NEUTRAL,1,1,0.0011880803,0.0050605806,0.9427094,0.051042005
2023-10-30 00:00:00+00:00,1.0,NEUTRAL,1,1,0.0010530251,0.0062649664,0.9844781,0.008203866
2023-10-30 08:00:00+00:00,1.0,NEUTRAL,1,1,0.00093067525,0.004005687,0.971731,0.023332566
2023-10-30 16:00:00+00:00,1.0,NEUTRAL,1,1,0.0021379737,0.009201977,0.8968089,0.09185111
2023-10-31 00:00:00.001000+00:00,1.0,NEUTRAL,1,1,0.0016944614,0.0033966545,0.9828082,0.012100673
2023-10-31 08:00:00+00:00,1.0,NEUTRAL,1,1,0.0016502654,0.003396805,0.98285174,0.012101209
2023-10-31 16:00:00+00:00,1.0,NEUTRAL,1,1,0.0010733018,0.0024200277,0.9948102,0.0016964731
2023-11-01 00:00:00+00:00,1.0,NEUTRAL,1,1,0.0006736392,0.003603541,0.99423355,0.0014892516
2023-11-01 08:00:00+00:00,1.0,NEUTRAL,1,1,0.0009966337,0.007061717,0.9912856,0.00065598846
2023-11-01 16:00:00+00:00,-1.0,CRISIS,1,0,0.09239972,0.7540726,0.14460388,0.00892383
2023-11-02 00:00:00.001000+00:00,2.0,BULL,1,1,0.0036054102,0.0016891693,0.93137366,0.06333173
2023-11-02 08:00:00+00:00,2.0,BULL,1,1,0.003382443,0.0007047435,0.8495088,0.146404
2023-11-02 16:00:00+00:00,-1.0,CRISIS,1,1,0.0012951797,0.00047778117,0.9842104,0.014016633
2023-11-03 00:00:00+00:00,-1.0,CRISIS,1,1,0.0007398783,0.00042456953,0.9858884,0.012947183
2023-11-03 08:00:00+00:00,-1.0,CRISIS,1,1,0.0007398783,0.00042456953,0.9858884,0.012947183
2023-11-03 16:00:00+00:00,-1.0,CRISIS,1,1,0.0014921183,0.00078288774,0.97547114,0.022253888
2023-11-04 00:00:00+00:00,-1.0,CRISIS,1,1,0.0012347149,0.0011562489,0.9804483,0.017160697
2023-11-04 08:00:00+00:00,0.0,BEAR,1,1,0.0012736353,0.0011926953,0.9798321,0.017701631
2023-11-04 16:00:00+00:00,0.0,BEAR,1,1,0.0008642553,0.0009102146,0.98412746,0.01409803
2023-11-05 00:00:00+00:00,-1.0,CRISIS,1,1,0.0014921183,0.00078288774,0.97547114,0.022253888
2023-11-05 08:00:00+00:00,-1.0,CRISIS,1,1,0.0014921183,0.00078288774,0.97547114,0.022253888
2023-11-05 16:00:00+00:00,-1.0,CRISIS,1,1,0.0014921183,0.00078288774,0.97547114,0.022253888
2023-11-06 00:00:00+00:00,-1.0,CRISIS,1,1,0.0009594751,0.0004410924,0.9858791,0.012720318
2023-11-06 08:00:00.001000+00:00,-1.0,CRISIS,1,1,0.0009594751,0.0004410924,0.9858791,0.012720318
2023-11-06 16:00:00+00:00,2.0,BULL,1,1,0.0009594751,0.0004410924,0.9858791,0.012720318
2023-11-07 00:00:00.001000+00:00,-1.0,CRISIS,1,1,0.0008915206,0.00044112242,0.98594624,0.012721184
2023-11-07 08:00:00+00:00,-1.0,CRISIS,1,1,0.0008915206,0.00044112242,0.98594624,0.012721184
2023-11-07 16:00:00+00:00,2.0,BULL,1,1,0.0008767185,0.00043379856,0.98617953,0.012509972
