feature,ic_mean,ic_std,icir,ic_positive_pct,ic_obs,decay_halflife_periods,decay_halflife_hours,quality
sync_score,0.37623,0.25603,1.4695,96.6,764,10.0,80.0,sehr gut
fundingRate,0.33642,0.25334,1.3279,91.2,3139,10.0,80.0,sehr gut
rate_btc,0.33642,0.25334,1.3279,91.2,3139,10.0,80.0,sehr gut
tri_exchange_mean,0.33088,0.26039,1.2707,89.6,3139,10.0,80.0,sehr gut
rate_zscore_7d,0.29239,0.23056,1.2682,90.5,3061,10.0,80.0,sehr gut
zscore_btc,0.30211,0.25136,1.2019,89.1,3071,10.0,80.0,sehr gut
rate_zscore,0.30211,0.25136,1.2019,89.1,3071,10.0,80.0,sehr gut
rel_score_btc,0.26568,0.24228,1.0966,87.0,3039,10.0,80.0,sehr gut
rate_momentum_3d,0.24844,0.2286,1.0868,85.9,3141,10.0,80.0,sehr gut
rate_momentum_7d,0.24816,0.243,1.0212,84.5,3138,10.0,80.0,sehr gut
all_above_zscore_1,0.21976,0.21923,1.0024,83.5,1069,10.0,80.0,sehr gut
portfolio_rate_weighted,0.26549,0.27242,0.9746,82.0,3145,10.0,80.0,gut
rate_eth,0.23042,0.28161,0.8182,78.3,3078,10.0,80.0,gut
rate_momentum_1d,0.16247,0.19924,0.8155,79.6,3140,9.0,72.0,gut
mom_btc,0.16247,0.19924,0.8155,79.6,3140,9.0,72.0,gut
zscore_eth,0.19175,0.27403,0.6997,73.9,3071,10.0,80.0,gut
rate_sol,0.19128,0.27792,0.6883,73.5,3138,10.0,80.0,gut
rate_doge,0.17501,0.26953,0.6493,72.2,3092,10.0,80.0,gut
zscore_sol,0.16059,0.26633,0.603,70.6,3071,10.0,80.0,gut
rate_avax,0.15628,0.27638,0.5655,69.8,3145,10.0,80.0,gut
rel_score_eth,0.14542,0.26142,0.5563,69.2,3039,10.0,80.0,gut
rate_link,0.14187,0.27917,0.5082,67.4,3100,10.0,80.0,gut
pct_positive_7d,0.17885,0.35625,0.502,66.4,613,10.0,80.0,gut
rel_score_sol,0.11579,0.23943,0.4836,67.9,3039,10.0,80.0,schwach
rate_xrp,0.12213,0.2684,0.455,67.6,3116,10.0,80.0,schwach
zscore_doge,0.12297,0.27038,0.4548,66.2,3039,10.0,80.0,schwach
hour_cos,0.07276,0.16161,0.4502,66.5,3145,10.0,80.0,schwach
zscore_avax,0.11411,0.2592,0.4402,65.3,3071,10.0,80.0,schwach
rel_score_doge,0.08588,0.24656,0.3483,61.6,3039,10.0,80.0,schwach
zscore_link,0.09745,0.2818,0.3458,60.3,3071,10.0,80.0,schwach
mom_eth,0.07412,0.21448,0.3456,66.9,3086,3.0,24.0,schwach
zscore_xrp,0.08951,0.2639,0.3392,62.5,3071,10.0,80.0,schwach
btc_eth_spread_zscore,0.07911,0.23406,0.338,64.0,3071,10.0,80.0,schwach
hour_sin,0.05178,0.15848,0.3268,61.6,3145,2.0,16.0,schwach
btc_eth_spread,0.07635,0.2414,0.3163,62.5,3143,6.0,48.0,schwach
pct_positive_30d,0.13094,0.42151,0.3106,64.0,865,10.0,80.0,schwach
rate_acceleration,0.05757,0.1872,0.3075,61.2,3140,4.0,32.0,schwach
rel_score_avax,0.06411,0.25217,0.2542,59.1,3039,,,unbrauchbar
rel_score_link,0.066,0.26411,0.2499,58.7,3039,10.0,80.0,unbrauchbar
mom_xrp,0.04435,0.18139,0.2445,58.4,3122,,,unbrauchbar
rate_30d_std,0.079,0.34694,0.2277,58.9,3071,10.0,80.0,unbrauchbar
mom_doge,0.04008,0.19308,0.2076,58.5,3092,2.0,16.0,unbrauchbar
mom_sol,0.03396,0.19251,0.1764,59.7,3141,,,unbrauchbar
rel_score_xrp,0.04098,0.23698,0.1729,56.8,3039,10.0,80.0,unbrauchbar
weekday_cos,0.04204,0.25873,0.1625,54.9,3145,6.0,48.0,unbrauchbar
weekday_sin,0.04104,0.26879,0.1527,56.0,3145,3.0,24.0,unbrauchbar
mom_avax,0.02932,0.19214,0.1526,55.4,3145,,,unbrauchbar
usdt_inflow_7d_pct,0.04085,0.33802,0.1209,51.5,3145,10.0,80.0,unbrauchbar
usdt_supply,0.04002,0.35679,0.1122,53.7,3145,10.0,80.0,unbrauchbar
hierarchy_inversion,0.02778,0.2623,0.1059,54.0,2970,10.0,80.0,unbrauchbar
btc_sol_spread_zscore,0.02367,0.22758,0.104,54.3,3071,3.0,24.0,unbrauchbar
total_stablecoin_supply,0.03535,0.34588,0.1022,54.7,3145,10.0,80.0,unbrauchbar
tri_exchange_std,0.01949,0.22595,0.0863,58.7,283,10.0,80.0,unbrauchbar
mom_link,0.0178,0.20816,0.0855,54.3,3112,,,unbrauchbar
total_inflow_7d_pct,0.02643,0.32908,0.0803,52.4,3145,10.0,80.0,unbrauchbar
usdc_inflow_7d_pct,0.02371,0.32263,0.0735,53.0,3145,10.0,80.0,unbrauchbar
usdc_supply,0.02351,0.32629,0.072,53.6,3145,10.0,80.0,unbrauchbar
rate_7d_mean,0.01943,0.31756,0.0612,47.1,3137,10.0,80.0,unbrauchbar
btc_sol_spread,0.01175,0.23426,0.0502,52.4,3144,10.0,80.0,unbrauchbar
max_exchange_spread,0.00449,0.23395,0.0192,56.9,283,10.0,80.0,unbrauchbar
rate_30d_mean,-0.00966,0.37231,-0.026,47.0,3071,10.0,80.0,unbrauchbar
rate_7d_std,-0.01213,0.31658,-0.0383,48.9,3137,10.0,80.0,unbrauchbar
rate_volatility_7d,-0.01213,0.31658,-0.0383,48.9,3137,10.0,80.0,unbrauchbar
binance_premium,-0.00911,0.17324,-0.0526,49.2,118,6.0,48.0,unbrauchbar
