feature,ic_mean,ic_std,icir,ic_positive_pct,ic_obs,decay_halflife_periods,decay_halflife_hours,quality
sync_score,0.37422,0.26957,1.3882,94.1,825,10.0,80.0,sehr gut
fundingRate,0.31286,0.23879,1.3102,89.8,3153,10.0,80.0,sehr gut
rate_doge,0.31286,0.23879,1.3102,89.8,3153,10.0,80.0,sehr gut
tri_exchange_mean,0.30513,0.24102,1.266,88.8,3153,10.0,80.0,sehr gut
zscore_doge,0.29088,0.2411,1.2065,88.2,3066,10.0,80.0,sehr gut
rate_zscore,0.29088,0.2411,1.2065,88.2,3066,10.0,80.0,sehr gut
rate_zscore_7d,0.26938,0.22692,1.1871,88.3,3125,4.0,32.0,sehr gut
portfolio_rate_weighted,0.29082,0.25071,1.16,87.0,3155,10.0,80.0,sehr gut
rate_avax,0.24656,0.24313,1.0141,83.5,3155,10.0,80.0,sehr gut
rate_momentum_3d,0.2181,0.2179,1.0009,83.3,3154,10.0,80.0,sehr gut
rate_momentum_7d,0.23646,0.24081,0.982,81.4,3148,10.0,80.0,gut
rel_score_doge,0.2357,0.24044,0.9803,81.6,3066,9.0,72.0,gut
zscore_avax,0.22496,0.24068,0.9347,81.2,3081,10.0,80.0,gut
rate_link,0.22071,0.24551,0.899,79.1,3093,10.0,80.0,gut
all_above_zscore_1,0.19248,0.22078,0.8718,81.3,1105,10.0,80.0,gut
rate_sol,0.22799,0.26412,0.8632,79.5,3133,10.0,80.0,gut
rate_eth,0.21293,0.25028,0.8508,81.3,3072,10.0,80.0,gut
rate_momentum_1d,0.16426,0.19505,0.8421,79.8,3153,4.0,32.0,gut
mom_doge,0.16426,0.19505,0.8421,79.8,3153,4.0,32.0,gut
zscore_sol,0.20791,0.25552,0.8137,78.5,3081,10.0,80.0,gut
zscore_eth,0.19366,0.25422,0.7617,78.6,3081,10.0,80.0,gut
zscore_link,0.19487,0.26058,0.7478,77.0,3081,10.0,80.0,gut
mom_eth,0.12338,0.18583,0.6639,75.6,3081,3.0,24.0,gut
mom_sol,0.12859,0.20033,0.6419,72.7,3139,9.0,72.0,gut
rel_score_avax,0.155,0.24177,0.6411,73.2,3066,10.0,80.0,gut
rel_score_sol,0.14924,0.24492,0.6093,72.3,3066,10.0,80.0,gut
rate_xrp,0.15696,0.26208,0.5989,69.2,3132,10.0,80.0,gut
mom_avax,0.12208,0.20947,0.5828,70.8,3155,9.0,72.0,gut
rel_score_link,0.12707,0.22923,0.5543,70.3,3066,9.0,72.0,gut
hour_cos,0.08451,0.15845,0.5334,69.1,3155,10.0,80.0,gut
mom_link,0.11007,0.20905,0.5265,70.8,3102,3.0,24.0,gut
zscore_xrp,0.13579,0.26351,0.5153,65.7,3081,10.0,80.0,gut
rel_score_eth,0.12244,0.23815,0.5142,71.4,3066,10.0,80.0,gut
mom_xrp,0.10627,0.20865,0.5093,67.4,3135,8.0,64.0,gut
