fundingTime,fundingRate,rate_annualized_pct,rate_7d_mean,rate_7d_std,rate_30d_mean,rate_zscore,rate_momentum_1d,rate_momentum_3d,hour,weekday,target_next_positive
2026-01-06 08:00:00+00:00,2.816e-05,3.08352,,,,,,,8,1,0
2026-01-06 16:00:00+00:00,2.691e-05,2.946645,,,,,,,16,1,0
2026-01-07 00:00:00.001000+00:00,6.582e-05,7.2072899999999995,,,,,,,0,2,0
2026-01-07 08:00:00.001000+00:00,0.0001,10.950000000000001,,,,,7.184e-05,,8,2,0
2026-01-07 16:00:00.001000+00:00,2.885e-05,3.159075,,,,,1.9399999999999984e-06,,16,2,0
2026-01-08 00:00:00.001000+00:00,8.693e-05,9.518835000000001,,,,,2.1109999999999993e-05,,0,3,0
2026-01-08 08:00:00+00:00,0.0001,10.950000000000001,,,,,0.0,,8,3,0
2026-01-08 16:00:00+00:00,6.436e-05,7.04742,,,,,3.5510000000000004e-05,,16,3,0
2026-01-09 00:00:00.003000+00:00,-2.813e-05,-3.080235,,,,,-0.00011506,,0,4,0
2026-01-09 08:00:00+00:00,7.258e-05,7.94751,,,,,-2.7420000000000005e-05,4.442e-05,8,4,0
2026-01-09 16:00:00.001000+00:00,2.18e-06,0.23871,,,,,-6.218e-05,-2.4730000000000002e-05,16,4,0
2026-01-10 00:00:00+00:00,5.643e-05,6.179085,,,,,8.456e-05,-9.390000000000003e-06,0,5,0
2026-01-10 08:00:00.002000+00:00,7.657e-05,8.384414999999999,,,,,3.989999999999994e-06,-2.343000000000001e-05,8,5,0
2026-01-10 16:00:00.001000+00:00,6.235e-05,6.827324999999999,,,,,6.0169999999999995e-05,3.35e-05,16,5,0
2026-01-11 00:00:00.003000+00:00,8.744e-05,9.57468,,,,,3.101e-05,5.10000000000007e-07,0,6,0
2026-01-11 08:00:00.006000+00:00,4.67e-05,5.11365,,,,,-2.9869999999999997e-05,-5.330000000000001e-05,8,6,0
2026-01-11 16:00:00+00:00,1.667e-05,1.825365,,,,,-4.5679999999999996e-05,-4.769e-05,16,6,0
2026-01-12 00:00:00.005000+00:00,1.813e-05,1.985235,,,,,-6.931e-05,4.626e-05,0,0,0
2026-01-12 08:00:00+00:00,2.902e-05,3.1776899999999997,,,,,-1.7679999999999997e-05,-4.3559999999999996e-05,8,0,0
2026-01-12 16:00:00+00:00,4.65e-05,5.09175,,,,,2.9829999999999997e-05,4.4319999999999996e-05,16,0,0
2026-01-13 00:00:00.007000+00:00,2.245e-05,2.458275,4.8091428571428574e-05,3.3728806573271205e-05,,,4.319999999999999e-06,-3.3979999999999997e-05,0,1,0
2026-01-13 08:00:00.009000+00:00,9.838e-05,10.77261,5.14352380952381e-05,3.510664048567559e-05,,,6.936e-05,2.181000000000001e-05,8,1,0
2026-01-13 16:00:00.002000+00:00,3.445e-05,3.772275,5.179428571428572e-05,3.488110370550631e-05,,,-1.2050000000000002e-05,-2.79e-05,16,1,0
2026-01-14 00:00:00+00:00,1.29e-06,0.141255,4.872142857142857e-05,3.639333637985315e-05,,,-2.116e-05,-8.615000000000001e-05,0,2,0
2026-01-14 08:00:00.001000+00:00,2.497e-05,2.734215,4.514857142857143e-05,3.47534643288571e-05,,,-7.341e-05,-2.1729999999999997e-05,8,2,0
2026-01-14 16:00:00.004000+00:00,4.076e-05,4.463220000000001,4.571571428571428e-05,3.4570888847616944e-05,,,6.310000000000006e-06,2.409e-05,16,2,0
2026-01-15 00:00:00+00:00,-3.67e-06,-0.40186499999999997,4.1401428571428575e-05,3.482268244775441e-05,,,-4.96e-06,-2.18e-05,0,3,0
2026-01-15 08:00:00.004000+00:00,1.749e-05,1.915155,3.747238095238095e-05,3.2454708734598425e-05,,,-7.4799999999999995e-06,-1.153e-05,8,3,0
2026-01-15 16:00:00.002000+00:00,1.526e-05,1.67097,3.513428571428572e-05,3.218835792199232e-05,,,-2.5500000000000003e-05,-3.124e-05,16,3,0
2026-01-16 00:00:00+00:00,7.34e-05,8.0373,3.996904761904762e-05,2.9742923007794962e-05,,,7.706999999999999e-05,5.094999999999999e-05,0,4,0
2026-01-16 08:00:00+00:00,7.337e-05,8.034014999999998,4.000666666666667e-05,2.978669926885712e-05,,,5.588e-05,-2.5010000000000006e-05,8,4,0
2026-01-16 16:00:00.001000+00:00,2.495e-05,2.732025,4.1090952380952376e-05,2.8736828618475268e-05,,,9.69e-06,-9.499999999999997e-06,16,4,0
2026-01-17 00:00:00+00:00,-1.78e-06,-0.19490999999999997,3.831904761904762e-05,2.996446727455069e-05,,,-7.518e-05,-3.07e-06,0,5,0
2026-01-17 08:00:00+00:00,3.007e-05,3.2926649999999995,3.61047619047619e-05,2.868739542360854e-05,,,-4.3299999999999995e-05,5.099999999999999e-06,8,5,0
2026-01-17 16:00:00.002000+00:00,2.976e-05,3.25872,3.455285714285714e-05,2.8071515837741492e-05,,,4.81e-06,-1.1000000000000003e-05,16,5,0
2026-01-18 00:00:00.001000+00:00,3.503e-05,3.8357850000000004,3.205714285714286e-05,2.5330394221736293e-05,,,3.681e-05,3.87e-05,0,6,0
2026-01-18 08:00:00+00:00,9.616e-05,10.52952,3.441238095238095e-05,2.88191345992141e-05,,,6.609e-05,7.867e-05,8,6,0
2026-01-18 16:00:00+00:00,6.571e-05,7.195245,3.6747619047619046e-05,2.9292558083028853e-05,,,3.5950000000000006e-05,5.0450000000000007e-05,16,6,0
2026-01-19 00:00:00.007000+00:00,3.473e-05,3.802935,3.753809523809524e-05,2.898742168925129e-05,,,-3.000000000000005e-07,-3.8669999999999994e-05,0,0,0
2026-01-19 08:00:00.007000+00:00,1.943e-05,2.127585,3.7081428571428576e-05,2.920306324441227e-05,,,-7.673e-05,-5.394e-05,8,0,0
2026-01-19 16:00:00.007000+00:00,2.494e-05,2.73093,3.605476190476191e-05,2.9234353014740657e-05,,,-4.0770000000000004e-05,-1.0000000000001598e-08,16,0,0
2026-01-20 00:00:00.005000+00:00,9.819e-05,10.751805,3.966142857142857e-05,3.201208932352187e-05,,,6.345999999999999e-05,9.996999999999999e-05,0,1,0
