feature,ic_mean,ic_std,icir,ic_positive_pct,ic_obs,decay_halflife_periods,decay_halflife_hours,quality
sync_score,0.38436,0.26688,1.4402,92.5,809,10.0,80.0,sehr gut
rate_xrp,0.25,0.23963,1.0432,83.5,3166,10.0,80.0,sehr gut
fundingRate,0.25,0.23963,1.0432,83.5,3166,10.0,80.0,sehr gut
portfolio_rate_weighted,0.26969,0.25923,1.0404,83.5,3169,10.0,80.0,sehr gut
zscore_xrp,0.2402,0.23218,1.0345,84.2,3095,10.0,80.0,sehr gut
rate_zscore,0.2402,0.23218,1.0345,84.2,3095,10.0,80.0,sehr gut
tri_exchange_mean,0.24756,0.23971,1.0327,83.2,3166,10.0,80.0,sehr gut
rate_zscore_7d,0.22623,0.22342,1.0125,84.0,3096,3.0,24.0,sehr gut
rate_momentum_7d,0.22661,0.22639,1.001,83.0,3161,10.0,80.0,sehr gut
rate_avax,0.22757,0.24882,0.9146,82.0,3169,10.0,80.0,gut
rate_momentum_3d,0.19882,0.22085,0.9002,80.3,3167,9.0,72.0,gut
mom_xrp,0.1701,0.19052,0.8928,80.6,3166,3.0,24.0,gut
rate_momentum_1d,0.1701,0.19052,0.8928,80.6,3166,3.0,24.0,gut
rate_doge,0.22631,0.25768,0.8782,77.8,3132,10.0,80.0,gut
rel_score_xrp,0.18975,0.22928,0.8276,79.1,3072,9.0,72.0,gut
rate_sol,0.2111,0.25806,0.818,78.2,3161,10.0,80.0,gut
zscore_avax,0.20321,0.2519,0.8067,79.4,3095,10.0,80.0,gut
zscore_doge,0.20447,0.25468,0.8028,76.0,3072,10.0,80.0,gut
zscore_sol,0.19355,0.24889,0.7776,77.3,3095,10.0,80.0,gut
all_above_zscore_1,0.17695,0.23222,0.762,72.6,1111,10.0,80.0,gut
rate_link,0.20234,0.26674,0.7586,74.8,3113,10.0,80.0,gut
rate_eth,0.19175,0.25883,0.7408,77.1,3102,10.0,80.0,gut
zscore_eth,0.17315,0.2592,0.668,76.0,3095,10.0,80.0,gut
zscore_link,0.1799,0.27366,0.6574,72.7,3095,10.0,80.0,gut
pct_positive_7d,0.20708,0.31673,0.6538,75.9,810,10.0,80.0,gut
hour_cos,0.13254,0.2043,0.6488,71.4,3169,10.0,80.0,gut
rel_score_doge,0.1455,0.25112,0.5794,71.4,3072,10.0,80.0,gut
rel_score_sol,0.13364,0.23492,0.5689,70.3,3072,9.0,72.0,gut
rel_score_avax,0.13972,0.25123,0.5562,70.9,3072,10.0,80.0,gut
rate_acceleration,0.09833,0.17798,0.5524,69.7,3166,3.0,24.0,gut
rel_score_link,0.13127,0.24562,0.5344,67.1,3072,6.0,48.0,gut
mom_eth,0.10064,0.19121,0.5264,70.6,3110,3.0,24.0,gut
rel_score_eth,0.12119,0.23419,0.5175,70.9,3072,10.0,80.0,gut
mom_avax,0.10252,0.20952,0.4893,70.5,3169,3.0,24.0,schwach
mom_link,0.09609,0.20914,0.4595,67.3,3122,4.0,32.0,schwach
mom_sol,0.08507,0.18861,0.451,64.6,3164,6.0,48.0,schwach
mom_doge,0.08717,0.19634,0.444,65.3,3135,4.0,32.0,schwach
hour_sin,0.09274,0.21746,0.4265,62.1,3169,2.0,16.0,schwach
hierarchy_normal,0.08959,0.21234,0.4219,68.3,2615,6.0,48.0,schwach
rate_btc,0.10909,0.27102,0.4025,64.2,3115,10.0,80.0,schwach
zscore_btc,0.09461,0.26878,0.352,62.1,3095,10.0,80.0,schwach
mom_btc,0.04594,0.18759,0.2449,59.0,3126,7.0,56.0,unbrauchbar
rel_score_btc,0.05177,0.24522,0.2111,58.8,3072,10.0,80.0,unbrauchbar
